lng,lat,timestamp
-84.284,7.3591,1496135379
-82.0546,4.2611,1496135440
-79.8635,1.1808,1496135501
-77.6599,-1.9269,1496135562
-75.4476,-5.0306,1496135623
-73.2302,-8.0996,1496135684
-70.9563,-11.1782,1496135745
-68.6478,-14.2098,1496135805
-66.2704,-17.2128,1496135866
-63.7859,-20.2047,1496135927
-61.2165,-23.1521,1496135988
-58.5001,-26.022,1496136049
-55.6592,-28.8288,1496136109
-52.6494,-31.5605,1496136170
-49.4462,-34.204,1496136231
-45.9943,-36.7646,1496136292
-42.3245,-39.1822,1496136353
-38.3841,-41.4587,1496136413
-34.1501,-43.5716,1496136474
-29.5667,-45.5111,1496136535
-24.6585,-47.2319,1496136596
-19.5185,-48.6944,1496136657
-13.9962,-49.8863,1496136717
-8.3139,-50.7761,1496136778
-2.3938,-51.3575,1496136838
3.6886,-51.6079,1496136899
9.8434,-51.5125,1496136961
15.8734,-51.0752,1496137022
21.789,-50.3007,1496137084
27.4224,-49.2209,1496137145
32.7289,-47.8676,1496137205
37.7666,-46.2458,1496137267
42.4423,-44.3941,1496137328
46.8372,-42.3579,1496137388
50.9257,-40.1297,1496137450
54.7292,-37.7494,1496137511
58.2449,-35.2596,1496137571
61.5572,-32.6378,1496137632
64.6629,-29.9205,1496137694
67.5871,-27.1224,1496137755
70.3542,-24.2559,1496137816
72.9868,-21.3321,1496137877
75.5055,-18.3605,1496137938
77.9106,-15.3743,1496137999
80.2588,-12.3326,1496138060
82.5471,-9.2665,1496138121
84.7731,-6.1824,1496138182
86.9887,-3.1118,1496138243
89.1899,-0.01,1496138304
91.3913,3.0921,1496138365
93.6439,6.2396,1496138427
95.8713,9.2994,1496138488
98.1426,12.3419,1496138548
100.493,15.3859,1496138610
103.0425,18.5461,1496138674
105.5707,21.5181,1496138735
108.2145,24.4419,1496138796
110.9718,27.2849,1496138857
113.8857,30.0601,1496138917
117.0066,32.7771,1496138978
120.3369,35.3979,1496139040
123.9031,37.9057,1496139101
127.7319,40.2811,1496139162
131.849,42.5028,1496139223
136.2752,44.5462,1496139284
140.9841,46.3704,1496139345
146.0142,47.9657,1496139405
151.3532,49.3038,1496139466
157.018,50.3653,1496139527
162.8642,51.1087,1496139588
168.9159,51.5276,1496139649
174.9865,51.6033,1496139710
-178.9188,51.3337,1496139771
-172.9433,50.7324,1496139832
-167.168,49.8049,1496139893
-161.6547,48.5769,1496139954
-156.4027,47.0616,1496140016
-151.5177,45.3123,1496140077
-146.959,43.3464,1496140138
-142.7163,41.1915,1496140199
-138.7709,38.8529,1496140261
-135.0986,36.4125,1496140321
-131.6736,33.8317,1496140383
-128.4686,31.1478,1496140444
-125.4572,28.3762,1496140505
-122.6375,25.5544,1496140566
-119.9392,22.6471,1496140627
-117.3648,19.6881,1496140688
-114.9141,16.7111,1496140748
-112.5278,13.6751,1496140810
-110.2093,10.6118,1496140871
-107.9609,7.5537,1496140931
-105.7295,4.456,1496140992
-103.5193,1.3503,1496141054
-101.3157,-1.7576,1496141115
-99.1223,-4.8365,1496141175
-96.8883,-7.9315,1496141237
-94.617,-11.0362,1496141298
-92.2923,-14.0942,1496141359
-89.8983,-17.0987,1496141420
-87.438,-20.0923,1496141481
-84.8739,-23.0176,1496141542
-82.1864,-25.8903,1496141602
-79.33,-28.7003,1496141663
-76.3283,-31.4582,1496141724
-73.1071,-34.1055,1496141785
-69.635,-36.6908,1496141846
-65.9726,-39.1125,1496141907
-62.0406,-41.4116,1496141968
-57.7796,-43.5282,1496142029
-53.2027,-45.4722,1496142090
-48.3428,-47.1848,1496142151
-43.1674,-48.655,1496142211
-37.6513,-49.864,1496142272
-31.9253,-50.7664,1496142333
-25.957,-51.3555,1496142394
-19.874,-51.6076,1496142455
-13.8191,-51.518,1496142516
-7.8354,-51.0926,1496142577
-1.961,-50.335,1496142638
3.6826,-49.2663,1496142699
9.0433,-47.9107,1496142760
14.0908,-46.2958,1496142821
18.776,-44.4662,1496142882
23.1453,-42.4192,1496142943
27.2449,-40.2145,1496143004
31.0286,-37.8593,1496143064
34.6116,-35.3328,1496143126
37.9305,-32.7138,1496143187
41.0417,-29.999,1496143248
43.9708,-27.2029,1496143309
46.7425,-24.3377,1496143370
49.3576,-21.4152,1496143432
51.8803,-18.4691,1496143492
54.3079,-15.4596,1496143553
56.6581,-12.4185,1496143615
58.9482,-9.3526,1496143676
61.1937,-6.2686,1496143737
63.3916,-3.1729,1496143798
65.5933,-0.0962,1496143859
67.7765,2.9807,1496143919
69.9919,6.0778,1496143980
72.2361,9.1639,1496144041
74.5054,12.2328,1496144103
76.8529,15.2529,1496144163
79.2769,18.2675,1496144224
81.7955,21.2435,1496144286
84.4279,24.1725,1496144347
87.1718,27.0214,1496144407
90.0948,29.8262,1496144468
93.1994,32.5508,1496144530
96.4829,35.1593,1496144590
100.0264,37.6785,1496144651
103.8303,40.0674,1496144713
107.9199,42.3043,1496144774
112.2798,44.3493,1496144834
116.9966,46.2098,1496144895
122.0398,47.84,1496144957
127.3537,49.201,1496145017
132.997,50.2879,1496145078
138.8267,51.0582,1496145139
144.8684,51.5055,1496145200
150.9865,51.6103,1496145261
157.0866,51.3695,1496145322
163.0743,50.7898,1496145384
168.8208,49.886,1496145445
174.3581,48.691,1496145505
179.5951,47.211,1496145566
-175.3965,45.4508,1496145627
-170.85,43.5169,1496145688
-166.5818,41.3765,1496145749
-162.6128,39.0702,1496145810
-158.9483,36.6416,1496145871
-155.5021,34.071,1496145932
-152.2785,31.396,1496145993
-149.2511,28.6322,1496146054
-146.3716,25.7695,1496146116
-143.6852,22.8908,1496146177
-141.0939,19.9267,1496146238
-138.6157,16.928,1496146299
-136.2434,13.9194,1496146360
-133.9203,10.8582,1496146421
-131.65,7.7761,1496146482
-129.435,4.705,1496146543
-127.2238,1.5998,1496146604
-125.0022,-1.5337,1496146665
-122.81,-4.6384,1496146727
-120.5783,-7.7087,1496146787
-118.329,-10.7644,1496146848
-116.0094,-13.8244,1496146909
-113.6416,-16.8317,1496146970
-111.1898,-19.8287,1496147031
-108.6144,-22.7583,1496147091
-105.9374,-25.6599,1496147152
-103.0937,-28.4755,1496147213
-100.1068,-31.2175,1496147274
-96.9026,-33.8946,1496147335
-93.5077,-36.4478,1496147396
-89.8397,-38.9015,1496147457
-85.933,-41.1959,1496147517
